LULC_Type,NDVI,EVI,GNDVI,NDWI,NDMI
Dense Forest,0.7261878207123401,0.7685072210278391,0.7823281588223433,-0.027730929121170422,0.4913235629156174
Bare Soil,-0.025758571860680785,-0.10453187658228946,0.055334779764327616,-0.29588669237150605,-0.15702587184910619
Bare Soil,0.18417319865078086,0.146185751949734,0.10411891697248264,-0.3640563507560822,-0.05024310647366077
Water Bodies,-0.30182923927249034,0.022030727048573673,-0.19362277716987578,0.49063298853529513,-0.15827186633086265
Dense Forest,0.8496609401606453,0.6200120901783208,0.6053841141020538,-0.2078254954779831,0.4548672991725093
Shrubland,0.3537606345323766,0.3548733022071506,0.5072535573360175,0.12629394373941688,0.31756049761458494
Open Forest,0.7179648221962152,0.42263596171482826,0.47932879030321013,-0.14602939827267936,0.17366194627469242
Open Forest,0.6102255639051671,0.45070686013972505,0.5276688226872894,0.04977591402344832,0.2934946190407818
Grassland,0.6142206069689888,0.5427278601788152,0.595856600265558,-0.24755345892958397,0.11305841485165087
Urban/Built-up,-0.11977185348271915,0.21678536799918638,0.09062731100618343,-0.31671495050932186,-0.20567180059620693
Grassland,0.421530511261772,0.4690080115594959,0.42277504575225355,0.10223543397527846,0.12944336526302108
Bare Soil,0.12190786826340615,0.060405658216391434,0.15030644452391342,-0.3068492694851842,-0.19240738011492578
Dense Forest,0.9077592845007055,0.4964906877668456,0.7794065446360657,0.01633896329373677,0.3737651758470035
Cropland,0.46166160183150534,0.31029478704776475,0.7193233397177841,0.1350328827908063,0.007653026029614346
Cropland,0.6712865458455827,0.43295647931561154,0.5714527330191661,0.04461537070895369,-0.012530811730368501
Cropland,0.4504042260448646,0.1877550799051612,0.6341292402977545,-0.17230793772702524,0.14646053750855953
Snow/Ice,-0.21387928480129895,-0.16815935408573765,-0.30482817782023447,-0.2764878526508957,-0.27371687739224126
Cropland,0.14888735434284062,0.44995265177774413,0.48405230313814257,0.024761652232979645,0.4245754792503301
Water Bodies,-0.22654813353246347,0.011977211257671549,-0.13083001183059917,0.6921096688008382,-0.23763911443856356
Cropland,0.40941390657589677,0.4282695726182035,0.5225307348798416,-0.05563749527470445,0.44582262484209795
Cropland,0.7016138124307782,0.38997931901079397,0.30289803296794704,-0.09777765666422544,0.018691084365744317
